day,hour,precinct,criminal,traffic
0,0,44,157,164
0,0,103,75,115
0,0,28,40,2635
0,0,105,78,20
0,0,13,68,43344
0,0,71,101,460
0,0,7,47,11182
0,0,46,96,95
0,0,48,93,12
0,0,19,65,24903
0,0,41,79,30
0,0,14,59,76016
0,0,67,200,32
0,0,17,36,48122
0,0,61,87,29
0,0,102,97,262
0,0,110,68,868
0,0,108,63,4938
0,0,75,219,64
0,0,73,122,99
0,0,60,145,25
0,0,68,43,94
0,0,79,80,946
0,0,23,93,5757
0,0,42,67,25
0,0,115,131,19749
0,0,52,129,35
0,0,122,79,7
0,0,72,81,205
0,0,109,111,111
0,0,24,66,10428
0,0,81,72,924
0,0,90,108,10286
0,0,112,65,507
0,0,43,169,65
0,0,84,66,5582
0,0,47,138,29
0,0,77,82,882
0,0,101,56,5
0,0,83,102,832
0,0,113,108,29530
0,0,120,112,40
0,0,70,90,368
0,0,69,59,8
0,0,66,58,57
0,0,114,144,5367
0,0,76,29,1117
0,0,63,59,52
0,0,45,67,33
0,0,106,97,49
0,0,10,32,27780
0,0,78,39,3870
0,0,6,52,64112
0,0,5,24,24145
0,0,94,60,6179
0,0,40,134,363
0,0,34,122,828
0,0,32,88,1120
0,0,50,44,75
0,0,25,89,2089
0,0,100,28,10
0,0,18,65,62072
0,0,20,40,16988
0,0,111,63,45
0,0,107,69,117
0,0,30,49,1551
0,0,49,102,43
0,0,88,54,2640
0,0,26,33,3133
0,0,123,50,15
0,0,9,94,39813
0,0,104,95,160
0,0,33,65,1305
0,0,62,99,42
0,0,22,4,3342
0,0,1,10,1000
0,1,44,101,91
0,1,103,56,56
0,1,28,25,1818
0,1,105,69,9
0,1,13,26,24978
0,1,71,59,438
0,1,7,32,7851
0,1,46,82,99
0,1,48,81,26
0,1,19,48,12901
0,1,41,51,32
0,1,14,63,43068
0,1,67,107,50
0,1,17,13,28904
0,1,61,44,39
0,1,102,73,184
0,1,110,74,919
0,1,108,46,4192
0,1,75,143,66
0,1,73,72,109
0,1,60,57,7
0,1,68,27,78
0,1,79,48,759
0,1,23,58,3379
0,1,42,57,21
0,1,115,99,3208
0,1,52,93,46
0,1,122,37,9
0,1,1,30,12971
0,1,72,49,161
0,1,109,49,89
0,1,24,34,6414
0,1,81,50,777
0,1,90,72,7465
0,1,112,27,254
0,1,43,116,44
0,1,84,20,3267
0,1,47,89,25
0,1,77,49,731
0,1,101,39,6
0,1,83,58,700
0,1,113,87,12176
0,1,120,81,40
0,1,70,67,246
0,1,69,49,18
0,1,66,35,70
0,1,114,71,4430
0,1,76,14,665
0,1,63,44,38
0,1,45,40,19
0,1,106,56,38
0,1,10,39,17978
0,1,78,20,2415
0,1,6,54,45437
0,1,5,23,14060
0,1,94,37,4364
0,1,40,112,275
0,1,34,62,435
0,1,32,49,753
0,1,50,35,53
0,1,25,40,1505
0,1,100,11,1
0,1,18,41,37490
0,1,20,19,9869
0,1,111,18,34
0,1,107,44,83
0,1,30,37,1016
0,1,49,57,22
0,1,88,29,1389
0,1,26,22,2026
0,1,123,20,5
0,1,9,37,27828
0,1,104,56,116
0,1,33,33,734
0,1,62,45,19
0,1,22,3,1553
0,2,44,86,56
0,2,103,41,41
0,2,28,22,1131
0,2,105,60,10
0,2,13,37,15230
0,2,71,46,217
0,2,7,24,5714
0,2,46,81,46
0,2,48,65,11
0,2,19,31,7945
0,2,41,28,25
0,2,14,32,27238
0,2,67,64,44
0,2,17,19,17310
0,2,61,25,37
0,2,102,52,62
0,2,110,60,881
0,2,108,47,3314
0,2,75,110,48
0,2,73,58,65
0,2,60,47,6
0,2,68,24,65
0,2,79,49,503
0,2,23,37,2172
0,2,42,44,23
0,2,115,100,1222
0,2,52,58,15
0,2,122,34,3
0,2,1,25,7542
0,2,72,37,99
0,2,109,39,102
0,2,24,22,3966
0,2,81,36,622
0,2,90,38,5853
0,2,112,16,221
0,2,43,87,41
0,2,84,24,1811
0,2,47,65,23
0,2,77,45,389
0,2,101,24,8
0,2,83,64,491
0,2,113,67,3844
0,2,120,59,32
0,2,70,61,223
0,2,69,33,8
0,2,66,29,59
0,2,114,74,3441
0,2,76,11,397
0,2,63,37,50
0,2,45,40,8
0,2,106,43,44
0,2,10,28,14700
0,2,78,25,1504
0,2,6,36,35116
0,2,5,22,9413
0,2,94,20,3189
0,2,40,66,193
0,2,34,60,230
0,2,32,30,516
0,2,50,21,31
0,2,25,32,952
0,2,100,15,2
0,2,18,35,24891
0,2,20,14,4987
0,2,111,14,4
0,2,107,31,29
0,2,30,31,716
0,2,49,41,22
0,2,88,12,937
0,2,26,11,1368
0,2,123,18,1
0,2,9,33,19964
0,2,104,50,50
0,2,33,37,509
0,2,62,34,10
0,2,22,1,773
0,3,44,64,85
0,3,103,30,13
0,3,28,18,775
0,3,105,30,5
0,3,13,21,9986
0,3,71,41,188
0,3,7,17,3831
0,3,46,40,68
0,3,48,55,9
0,3,19,22,5540
0,3,41,39,33
0,3,14,29,15147
0,3,67,73,18
0,3,17,14,11353
0,3,61,29,9
0,3,102,37,71
0,3,110,50,647
0,3,108,40,2586
0,3,75,73,22
0,3,73,45,42
0,3,60,31,7
0,3,68,16,23
0,3,79,31,356
0,3,23,18,1788
0,3,42,35,11
