day,hour,precinct,criminal,traffic,population,age
0,0,44,157,136,141055.0,31.5
0,0,103,75,105,68981.0,39.3
0,0,28,40,4194,50095.0,34.8
0,0,105,78,21,200852.0,40.1
0,0,13,68,34375,49348.0,34.2
0,0,71,101,334,111325.0,34.3
0,0,7,47,26099,72789.0,41.1
0,0,46,96,99,136982.0,29.9
0,0,48,93,27,130442.0,28.9
0,0,19,65,25819,221922.0,39.9
0,0,41,79,44,55492.0,30.3
0,0,14,59,61954,16368.0,33.2
0,0,67,200,32,138643.0,37.8
0,0,17,36,37253,97402.0,38.4
0,0,61,87,31,150931.0,39.9
0,0,102,97,223,154987.0,35.5
0,0,110,68,769,142289.0,35.8
0,0,108,63,4078,139088.0,37.1
0,0,75,219,50,185182.0,33.0
0,0,73,122,99,94149.0,32.3
0,0,60,145,23,109876.0,43.7
0,0,68,43,93,125011.0,39.4
0,0,79,80,599,75318.0,29.1
0,0,23,93,3466,59777.0,34.5
0,0,42,67,29,139743.0,29.4
0,0,115,131,19662,180562.0,35.0
0,0,52,129,41,131423.0,32.3
0,0,122,79,7,135323.0,41.4
0,0,72,81,157,151258.0,33.3
0,0,109,111,97,250162.0,42.8
0,0,24,66,8817,124447.0,43.4
0,0,81,72,1045,67371.0,33.2
0,0,90,108,7913,124082.0,30.9
0,0,112,65,613,114637.0,42.1
0,0,43,169,65,189556.0,34.2
0,0,84,66,7774,66385.0,35.0
0,0,47,138,29,144341.0,35.6
0,0,77,82,1146,127627.0,34.2
0,0,101,56,5,93267.0,33.3
0,0,83,102,433,135837.0,30.4
0,0,113,108,29352,239699.0,35.9
0,0,120,112,40,172369.0,35.9
0,0,70,90,392,162030.0,34.3
0,0,69,59,9,88367.0,37.1
0,0,66,58,39,164842.0,27.9
0,0,114,144,5451,172468.0,35.1
0,0,76,29,1180,42463.0,36.5
0,0,63,59,54,116657.0,38.6
0,0,45,67,35,122417.0,42.9
0,0,106,97,248,137073.0,38.7
0,0,10,32,23471,77205.0,37.1
0,0,78,39,3261,73881.0,35.4
0,0,6,52,76190,66772.0,36.5
0,0,5,24,15477,44898.0,40.0
0,0,94,60,8430,33351.0,34.7
0,0,40,134,359,98324.0,28.7
