day,hour,sum,lat,long
0,21,1,40.498792,-74.24988
1,9,1,40.498792,-74.24988
1,12,1,40.498792,-74.24988
2,1,1,40.498792,-74.24988
2,3,1,40.498792,-74.24988
2,10,1,40.498792,-74.24988
2,13,1,40.498792,-74.24988
2,14,1,40.498792,-74.24988
2,15,1,40.498792,-74.24988
2,16,1,40.498792,-74.24988
2,18,1,40.498792,-74.24988
3,15,2,40.498792,-74.24988
4,11,1,40.498792,-74.24988
4,19,1,40.498792,-74.24988
5,12,1,40.498792,-74.24988
5,15,1,40.498792,-74.24988
5,17,2,40.498792,-74.24988
5,18,1,40.498792,-74.24988
5,22,1,40.498792,-74.24988
6,0,1,40.498792,-74.24988
6,2,1,40.498792,-74.24988
6,11,1,40.498792,-74.24988
6,19,1,40.498792,-74.24988
6,20,1,40.498792,-74.24988
6,21,1,40.498792,-74.24988
6,22,1,40.498792,-74.24988
0,0,2,40.498792,-74.24088
0,5,1,40.498792,-74.24088
0,8,1,40.498792,-74.24088
0,10,2,40.498792,-74.24088
0,12,1,40.498792,-74.24088
0,13,1,40.498792,-74.24088
0,15,1,40.498792,-74.24088
0,16,1,40.498792,-74.24088
0,17,1,40.498792,-74.24088
0,18,1,40.498792,-74.24088
0,19,1,40.498792,-74.24088
0,21,1,40.498792,-74.24088
1,0,1,40.498792,-74.24088
1,1,2,40.498792,-74.24088
1,2,1,40.498792,-74.24088
1,4,1,40.498792,-74.24088
1,7,1,40.498792,-74.24088
1,11,1,40.498792,-74.24088
1,12,1,40.498792,-74.24088
1,13,2,40.498792,-74.24088
1,14,1,40.498792,-74.24088
1,16,1,40.498792,-74.24088
1,17,1,40.498792,-74.24088
1,19,1,40.498792,-74.24088
1,20,2,40.498792,-74.24088
2,7,1,40.498792,-74.24088
2,10,1,40.498792,-74.24088
2,11,1,40.498792,-74.24088
2,13,1,40.498792,-74.24088
2,14,2,40.498792,-74.24088
2,17,1,40.498792,-74.24088
2,18,2,40.498792,-74.24088
2,22,1,40.498792,-74.24088
2,23,1,40.498792,-74.24088
3,1,2,40.498792,-74.24088
3,3,1,40.498792,-74.24088
3,8,1,40.498792,-74.24088
3,10,1,40.498792,-74.24088
3,15,1,40.498792,-74.24088
3,16,1,40.498792,-74.24088
3,17,2,40.498792,-74.24088
3,18,5,40.498792,-74.24088
3,19,1,40.498792,-74.24088
3,22,2,40.498792,-74.24088
3,23,2,40.498792,-74.24088
4,1,1,40.498792,-74.24088
4,3,1,40.498792,-74.24088
4,4,1,40.498792,-74.24088
4,7,2,40.498792,-74.24088
4,10,1,40.498792,-74.24088
4,14,1,40.498792,-74.24088
4,15,3,40.498792,-74.24088
4,22,1,40.498792,-74.24088
4,23,2,40.498792,-74.24088
5,0,1,40.498792,-74.24088
5,3,1,40.498792,-74.24088
5,5,1,40.498792,-74.24088
5,9,2,40.498792,-74.24088
5,10,1,40.498792,-74.24088
5,14,1,40.498792,-74.24088
5,16,1,40.498792,-74.24088
6,0,1,40.498792,-74.24088
6,3,1,40.498792,-74.24088
6,4,1,40.498792,-74.24088
6,11,2,40.498792,-74.24088
6,16,1,40.498792,-74.24088
6,17,1,40.498792,-74.24088
6,20,1,40.498792,-74.24088
1,14,1,40.498792,-74.23188
2,9,1,40.498792,-74.23188
2,14,2,40.498792,-74.23188
3,10,1,40.498792,-74.23188
3,15,1,40.498792,-74.23188
3,22,1,40.498792,-74.23188
4,1,1,40.498792,-74.23188
4,14,1,40.498792,-74.23188
6,3,1,40.498792,-74.23188
6,14,1,40.498792,-74.23188
6,19,1,40.498792,-74.23188
0,0,2,40.507792,-74.24988
0,1,1,40.507792,-74.24988
0,3,1,40.507792,-74.24988
0,4,1,40.507792,-74.24988
0,7,1,40.507792,-74.24988
0,8,1,40.507792,-74.24988
0,10,2,40.507792,-74.24988
0,11,1,40.507792,-74.24988
0,12,2,40.507792,-74.24988
0,13,2,40.507792,-74.24988
0,14,2,40.507792,-74.24988
0,15,4,40.507792,-74.24988
0,16,4,40.507792,-74.24988
0,17,3,40.507792,-74.24988
0,19,2,40.507792,-74.24988
0,20,2,40.507792,-74.24988
0,21,3,40.507792,-74.24988
0,22,3,40.507792,-74.24988
1,1,2,40.507792,-74.24988
1,2,2,40.507792,-74.24988
1,3,1,40.507792,-74.24988
1,7,1,40.507792,-74.24988
1,8,2,40.507792,-74.24988
1,9,1,40.507792,-74.24988
1,11,3,40.507792,-74.24988
1,12,2,40.507792,-74.24988
1,13,1,40.507792,-74.24988
1,14,3,40.507792,-74.24988
1,15,1,40.507792,-74.24988
1,16,4,40.507792,-74.24988
1,17,1,40.507792,-74.24988
1,18,2,40.507792,-74.24988
1,19,2,40.507792,-74.24988
1,20,1,40.507792,-74.24988
1,21,2,40.507792,-74.24988
1,22,5,40.507792,-74.24988
1,23,1,40.507792,-74.24988
2,0,3,40.507792,-74.24988
2,5,1,40.507792,-74.24988
2,7,2,40.507792,-74.24988
2,8,5,40.507792,-74.24988
2,10,2,40.507792,-74.24988
2,11,2,40.507792,-74.24988
2,12,3,40.507792,-74.24988
2,13,3,40.507792,-74.24988
2,14,5,40.507792,-74.24988
2,15,3,40.507792,-74.24988
2,17,1,40.507792,-74.24988
2,18,7,40.507792,-74.24988
2,19,4,40.507792,-74.24988
2,20,2,40.507792,-74.24988
2,21,2,40.507792,-74.24988
2,22,2,40.507792,-74.24988
2,23,1,40.507792,-74.24988
3,0,1,40.507792,-74.24988
3,2,4,40.507792,-74.24988
3,3,1,40.507792,-74.24988
3,4,2,40.507792,-74.24988
3,8,1,40.507792,-74.24988
3,9,3,40.507792,-74.24988
3,10,1,40.507792,-74.24988
3,11,2,40.507792,-74.24988
3,12,1,40.507792,-74.24988
3,14,4,40.507792,-74.24988
3,15,2,40.507792,-74.24988
3,16,2,40.507792,-74.24988
3,17,3,40.507792,-74.24988
3,18,4,40.507792,-74.24988
3,19,1,40.507792,-74.24988
3,20,2,40.507792,-74.24988
3,22,1,40.507792,-74.24988
3,23,3,40.507792,-74.24988
4,0,1,40.507792,-74.24988
4,1,2,40.507792,-74.24988
4,2,1,40.507792,-74.24988
4,3,2,40.507792,-74.24988
4,4,1,40.507792,-74.24988
4,5,1,40.507792,-74.24988
4,8,1,40.507792,-74.24988
4,9,2,40.507792,-74.24988
4,10,4,40.507792,-74.24988
4,11,2,40.507792,-74.24988
4,12,3,40.507792,-74.24988
4,13,1,40.507792,-74.24988
4,15,2,40.507792,-74.24988
4,16,7,40.507792,-74.24988
4,17,2,40.507792,-74.24988
4,18,2,40.507792,-74.24988
4,19,3,40.507792,-74.24988
4,20,4,40.507792,-74.24988
4,21,1,40.507792,-74.24988
4,22,2,40.507792,-74.24988
4,23,2,40.507792,-74.24988
5,0,3,40.507792,-74.24988
5,1,3,40.507792,-74.24988
5,2,2,40.507792,-74.24988
5,4,2,40.507792,-74.24988
5,5,1,40.507792,-74.24988
5,6,2,40.507792,-74.24988
5,9,1,40.507792,-74.24988
5,10,3,40.507792,-74.24988
5,11,1,40.507792,-74.24988
5,12,2,40.507792,-74.24988
5,13,3,40.507792,-74.24988
5,14,3,40.507792,-74.24988
5,15,1,40.507792,-74.24988
5,17,3,40.507792,-74.24988
5,18,1,40.507792,-74.24988
5,19,1,40.507792,-74.24988
5,20,1,40.507792,-74.24988
5,21,1,40.507792,-74.24988
5,22,3,40.507792,-74.24988
5,23,1,40.507792,-74.24988
6,0,1,40.507792,-74.24988
6,1,1,40.507792,-74.24988
6,2,2,40.507792,-74.24988
6,3,4,40.507792,-74.24988
6,4,1,40.507792,-74.24988
6,5,2,40.507792,-74.24988
6,7,1,40.507792,-74.24988
6,12,1,40.507792,-74.24988
6,13,2,40.507792,-74.24988
6,14,4,40.507792,-74.24988
6,16,2,40.507792,-74.24988
6,17,1,40.507792,-74.24988
6,18,2,40.507792,-74.24988
6,19,2,40.507792,-74.24988
6,20,5,40.507792,-74.24988
6,21,4,40.507792,-74.24988
6,22,2,40.507792,-74.24988
6,23,2,40.507792,-74.24988
0,1,2,40.507792,-74.24088
0,2,1,40.507792,-74.24088
0,7,1,40.507792,-74.24088
0,9,1,40.507792,-74.24088
0,11,1,40.507792,-74.24088
0,13,1,40.507792,-74.24088
0,16,2,40.507792,-74.24088
0,17,1,40.507792,-74.24088
