day,hour,sum,lat,long
0,0,1,40.4993,-74.2494
0,5,1,40.4993,-74.2494
0,15,1,40.4993,-74.2494
0,16,1,40.4993,-74.2494
0,19,1,40.4993,-74.2494
0,21,1,40.4993,-74.2494
1,9,1,40.4993,-74.2494
1,12,1,40.4993,-74.2494
1,16,2,40.4993,-74.2494
2,1,1,40.4993,-74.2494
2,3,1,40.4993,-74.2494
2,10,1,40.4993,-74.2494
2,12,1,40.4993,-74.2494
2,13,1,40.4993,-74.2494
2,14,2,40.4993,-74.2494
2,15,1,40.4993,-74.2494
2,16,1,40.4993,-74.2494
2,18,2,40.4993,-74.2494
2,23,1,40.4993,-74.2494
3,15,2,40.4993,-74.2494
3,16,1,40.4993,-74.2494
4,1,1,40.4993,-74.2494
4,7,1,40.4993,-74.2494
4,11,2,40.4993,-74.2494
4,19,1,40.4993,-74.2494
5,9,1,40.4993,-74.2494
5,12,1,40.4993,-74.2494
5,15,1,40.4993,-74.2494
5,17,2,40.4993,-74.2494
5,18,1,40.4993,-74.2494
5,22,1,40.4993,-74.2494
6,0,1,40.4993,-74.2494
6,2,1,40.4993,-74.2494
6,4,1,40.4993,-74.2494
6,11,1,40.4993,-74.2494
6,19,1,40.4993,-74.2494
6,20,1,40.4993,-74.2494
6,21,1,40.4993,-74.2494
6,22,1,40.4993,-74.2494
0,0,1,40.4993,-74.2394
0,8,1,40.4993,-74.2394
0,10,2,40.4993,-74.2394
0,12,1,40.4993,-74.2394
0,13,1,40.4993,-74.2394
0,17,1,40.4993,-74.2394
0,18,1,40.4993,-74.2394
0,21,1,40.4993,-74.2394
1,0,1,40.4993,-74.2394
1,1,2,40.4993,-74.2394
1,2,1,40.4993,-74.2394
1,4,1,40.4993,-74.2394
1,6,1,40.4993,-74.2394
1,7,1,40.4993,-74.2394
1,11,1,40.4993,-74.2394
1,12,1,40.4993,-74.2394
1,13,2,40.4993,-74.2394
1,14,1,40.4993,-74.2394
1,17,2,40.4993,-74.2394
1,19,1,40.4993,-74.2394
1,20,2,40.4993,-74.2394
2,2,1,40.4993,-74.2394
2,7,1,40.4993,-74.2394
2,10,1,40.4993,-74.2394
2,11,2,40.4993,-74.2394
2,13,1,40.4993,-74.2394
2,14,1,40.4993,-74.2394
2,17,1,40.4993,-74.2394
2,18,2,40.4993,-74.2394
2,19,1,40.4993,-74.2394
2,22,1,40.4993,-74.2394
2,23,1,40.4993,-74.2394
3,0,1,40.4993,-74.2394
3,1,2,40.4993,-74.2394
3,3,1,40.4993,-74.2394
3,8,1,40.4993,-74.2394
3,10,1,40.4993,-74.2394
3,11,1,40.4993,-74.2394
3,12,1,40.4993,-74.2394
3,15,3,40.4993,-74.2394
3,16,1,40.4993,-74.2394
3,17,2,40.4993,-74.2394
3,18,5,40.4993,-74.2394
3,19,1,40.4993,-74.2394
3,22,3,40.4993,-74.2394
3,23,3,40.4993,-74.2394
4,1,1,40.4993,-74.2394
4,3,1,40.4993,-74.2394
4,4,1,40.4993,-74.2394
4,7,1,40.4993,-74.2394
4,10,1,40.4993,-74.2394
4,14,2,40.4993,-74.2394
4,15,3,40.4993,-74.2394
4,22,1,40.4993,-74.2394
4,23,2,40.4993,-74.2394
5,0,1,40.4993,-74.2394
5,3,1,40.4993,-74.2394
5,5,1,40.4993,-74.2394
5,9,1,40.4993,-74.2394
5,10,1,40.4993,-74.2394
5,12,1,40.4993,-74.2394
