,day,hour,precinct,sum
0,0,0,44,157
1,0,0,103,75
2,0,0,28,40
3,0,0,105,78
4,0,0,13,68
5,0,0,71,101
6,0,0,7,47
7,0,0,46,96
8,0,0,48,93
9,0,0,19,65
10,0,0,41,79
11,0,0,14,59
12,0,0,67,200
13,0,0,17,36
14,0,0,61,87
15,0,0,102,97
16,0,0,110,68
17,0,0,108,63
18,0,0,75,219
19,0,0,73,122
20,0,0,60,145
21,0,0,68,43
22,0,0,79,80
23,0,0,121,99
24,0,0,23,93
25,0,0,42,67
26,0,0,115,131
27,0,0,52,129
28,0,0,122,79
29,0,0,1,46
30,0,0,72,81
31,0,0,109,111
32,0,0,24,66
33,0,0,81,72
34,0,0,90,108
35,0,0,112,65
36,0,0,43,169
37,0,0,84,66
38,0,0,47,138
39,0,0,77,82
40,0,0,101,56
41,0,0,83,102
42,0,0,113,108
43,0,0,120,112
44,0,0,70,90
45,0,0,69,59
46,0,0,66,58
47,0,0,114,144
48,0,0,76,29
49,0,0,63,59
50,0,0,45,67
51,0,0,106,97
52,0,0,10,32
53,0,0,78,39
54,0,0,6,52
55,0,0,5,24
56,0,0,94,60
57,0,0,40,134
58,0,0,34,122
59,0,0,32,88
60,0,0,50,44
61,0,0,25,89
62,0,0,100,28
63,0,0,18,65
64,0,0,20,40
65,0,0,111,63
66,0,0,107,69
67,0,0,30,49
68,0,0,49,102
69,0,0,88,54
70,0,0,26,33
71,0,0,123,50
72,0,0,9,94
73,0,0,104,95
74,0,0,33,65
75,0,0,62,99
76,0,0,22,4
77,0,1,44,101
78,0,1,103,56
79,0,1,28,25
80,0,1,105,69
81,0,1,13,26
82,0,1,71,59
83,0,1,7,32
84,0,1,46,82
85,0,1,48,81
86,0,1,19,48
87,0,1,41,51
88,0,1,14,63
89,0,1,67,107
90,0,1,17,13
91,0,1,61,44
92,0,1,102,73
93,0,1,110,74
94,0,1,108,46
95,0,1,75,143
96,0,1,73,72
97,0,1,60,57
98,0,1,68,27
99,0,1,79,48
100,0,1,121,58
101,0,1,23,58
102,0,1,42,57
103,0,1,115,99
104,0,1,52,93
105,0,1,122,37
106,0,1,1,30
107,0,1,72,49
108,0,1,109,49
109,0,1,24,34
110,0,1,81,50
111,0,1,90,72
112,0,1,112,27
113,0,1,43,116
114,0,1,84,20
115,0,1,47,89
116,0,1,77,49
117,0,1,101,39
118,0,1,83,58
119,0,1,113,87
120,0,1,120,81
121,0,1,70,67
122,0,1,69,49
123,0,1,66,35
124,0,1,114,71
125,0,1,76,14
126,0,1,63,44
127,0,1,45,40
128,0,1,106,56
129,0,1,10,39
130,0,1,78,20
131,0,1,6,54
132,0,1,5,23
133,0,1,94,37
134,0,1,40,112
135,0,1,34,62
136,0,1,32,49
137,0,1,50,35
138,0,1,25,40
139,0,1,100,11
140,0,1,18,41
141,0,1,20,19
142,0,1,111,18
143,0,1,107,44
144,0,1,30,37
145,0,1,49,57
146,0,1,88,29
147,0,1,26,22
148,0,1,123,20
149,0,1,9,37
150,0,1,104,56
151,0,1,33,33
152,0,1,62,45
153,0,1,22,3
154,0,2,44,86
155,0,2,103,41
156,0,2,28,22
157,0,2,105,60
158,0,2,13,37
159,0,2,71,46
160,0,2,7,24
161,0,2,46,81
162,0,2,48,65
163,0,2,19,31
164,0,2,41,28
165,0,2,14,32
166,0,2,67,64
167,0,2,17,19
168,0,2,61,25
169,0,2,102,52
170,0,2,110,60
171,0,2,108,47
172,0,2,75,110
173,0,2,73,58
174,0,2,60,47
175,0,2,68,24
176,0,2,79,49
177,0,2,121,49
178,0,2,23,37
179,0,2,42,44
180,0,2,115,100
181,0,2,52,58
182,0,2,122,34
183,0,2,1,25
184,0,2,72,37
185,0,2,109,39
186,0,2,24,22
187,0,2,81,36
188,0,2,90,38
189,0,2,112,16
190,0,2,43,87
191,0,2,84,24
192,0,2,47,65
193,0,2,77,45
194,0,2,101,24
195,0,2,83,64
196,0,2,113,67
197,0,2,120,59
198,0,2,70,61
199,0,2,69,33
200,0,2,66,29
201,0,2,114,74
202,0,2,76,11
203,0,2,63,37
204,0,2,45,40
205,0,2,106,43
206,0,2,10,28
207,0,2,78,25
208,0,2,6,36
209,0,2,5,22
210,0,2,94,20
211,0,2,40,66
212,0,2,34,60
213,0,2,32,30
214,0,2,50,21
215,0,2,25,32
216,0,2,100,15
217,0,2,18,35
218,0,2,20,14
219,0,2,111,14
220,0,2,107,31
221,0,2,30,31
