weekday,pick_hour,sum,precinct
0,0,5,123.0
0,0,1,61.0
0,0,1,61.0
0,0,1,60.0
0,0,1,60.0
0,0,2,60.0
0,0,1,60.0
0,0,8,60.0
0,0,2,60.0
0,0,3,61.0
0,0,7,61.0
0,0,1,61.0
0,0,1,123.0
0,0,1,60.0
0,0,1,60.0
0,0,1,60.0
0,0,4,61.0
0,0,4,61.0
0,0,4,100.0
0,0,1,123.0
0,0,1,60.0
0,0,1,60.0
0,0,1,61.0
0,0,1,100.0
0,0,1,101.0
0,0,2,62.0
0,0,6,62.0
0,0,6,62.0
0,0,13,62.0
0,0,3,62.0
0,0,1,61.0
0,0,1,62.0
0,0,1,62.0
0,0,1,62.0
0,0,1,62.0
0,0,5,62.0
0,0,1,61.0
0,0,2,61.0
0,0,5,122.0
0,0,1,122.0
0,0,4,68.0
0,0,2,68.0
0,0,1,62.0
0,0,1,62.0
0,0,3,62.0
0,0,1,66.0
0,0,1,70.0
0,0,1,61.0
0,0,1,61.0
0,0,1,63.0
0,0,1,69.0
0,0,3,68.0
0,0,3,68.0
0,0,1,62.0
0,0,2,62.0
0,0,3,66.0
0,0,1,66.0
0,0,1,70.0
0,0,1,70.0
0,0,1,100.0
0,0,2,100.0
0,0,8,123.0
0,0,7,68.0
0,0,8,68.0
0,0,6,66.0
0,0,1,66.0
0,0,3,66.0
0,0,2,70.0
0,0,9,70.0
0,0,3,70.0
0,0,1,63.0
0,0,2,63.0
0,0,2,63.0
0,0,2,100.0
0,0,0,101.0
0,0,3,68.0
0,0,1,68.0
0,0,6,68.0
0,0,2,68.0
0,0,1,66.0
0,0,1,66.0
0,0,2,66.0
0,0,16,70.0
0,0,18,70.0
0,0,4,70.0
0,0,14,63.0
0,0,2,63.0
0,0,1,63.0
0,0,5,63.0
0,0,1,69.0
0,0,4,101.0
0,0,3,68.0
0,0,13,68.0
0,0,3,68.0
0,0,1,72.0
0,0,3,66.0
0,0,3,66.0
0,0,6,66.0
0,0,20,70.0
0,0,3,70.0
0,0,9,70.0
0,0,19,70.0
0,0,19,63.0
0,0,2,63.0
0,0,1,67.0
0,0,1,67.0
0,0,2,69.0
0,0,1,69.0
0,0,1,120.0
0,0,1,68.0
0,0,8,68.0
0,0,27,68.0
0,0,6,72.0
0,0,3,72.0
0,0,2,66.0
0,0,15,66.0
0,0,19,70.0
0,0,52,70.0
0,0,9,70.0
0,0,28,70.0
0,0,16,70.0
0,0,6,63.0
0,0,2,67.0
0,0,1,67.0
0,0,1,113.0
0,0,7,113.0
0,0,3685,113.0
0,0,227,113.0
0,0,2,72.0
0,0,13,72.0
0,0,5,72.0
0,0,2,72.0
0,0,3,72.0
0,0,13,66.0
0,0,20,70.0
0,0,29,70.0
0,0,30,70.0
0,0,40,70.0
0,0,7,67.0
0,0,1,67.0
0,0,1,67.0
0,0,25,113.0
0,0,173,113.0
0,0,235,113.0
0,0,5757,113.0
0,0,13971,113.0
0,0,4868,113.0
0,0,4,72.0
0,0,49,72.0
0,0,8,72.0
0,0,3,78.0
0,0,9,78.0
0,0,54,71.0
0,0,74,71.0
0,0,16,71.0
0,0,1,71.0
0,0,3,67.0
0,0,3,67.0
0,0,3,67.0
0,0,1,69.0
0,0,7,75.0
0,0,1,106.0
0,0,81,113.0
0,0,5,113.0
0,0,51,113.0
0,0,38,113.0
0,0,2,113.0
0,0,2,72.0
0,0,37,72.0
0,0,37,72.0
0,0,43,78.0
0,0,63,78.0
0,0,11,78.0
0,0,110,71.0
0,0,42,71.0
0,0,13,71.0
0,0,4,71.0
0,0,1,71.0
0,0,7,67.0
0,0,1,67.0
0,0,2,73.0
0,0,2,69.0
0,0,1,69.0
0,0,1,75.0
0,0,2,75.0
0,0,2,106.0
0,0,58,113.0
0,0,11,113.0
0,0,79,113.0
0,0,11,113.0
0,0,7,113.0
0,0,2,113.0
0,0,11,72.0
0,0,114,78.0
0,0,145,78.0
0,0,182,78.0
0,0,15,78.0
0,0,1,78.0
0,0,48,78.0
0,0,27,71.0
0,0,43,71.0
0,0,6,71.0
0,0,22,71.0
0,0,23,71.0
0,0,6,73.0
0,0,7,73.0
0,0,2,73.0
0,0,6,73.0
0,0,1,73.0
0,0,5,73.0
0,0,5,75.0
0,0,1,75.0
0,0,1,75.0
0,0,1,75.0
0,0,1,106.0
0,0,2,106.0
0,0,1,106.0
0,0,6,113.0
0,0,83,113.0
0,0,16,113.0
0,0,18,113.0
0,0,5,113.0
0,0,2,113.0
0,0,1,113.0
0,0,6,105.0
0,0,1,122.0
0,0,1,76.0
0,0,4,76.0
0,0,28,76.0
0,0,48,76.0
0,0,363,78.0
0,0,159,78.0
0,0,48,78.0
0,0,54,78.0
0,0,98,78.0
0,0,205,77.0
0,0,93,77.0
0,0,47,77.0
0,0,42,77.0
0,0,48,77.0
0,0,3,73.0
0,0,5,73.0
0,0,11,73.0
0,0,6,73.0
0,0,1,73.0
0,0,2,75.0
0,0,2,75.0
0,0,7,75.0
0,0,3,75.0
0,0,2,75.0
0,0,2,106.0
0,0,1,106.0
0,0,7,106.0
0,0,1,106.0
0,0,3,106.0
0,0,51,113.0
0,0,1,113.0
0,0,1,113.0
0,0,2,113.0
0,0,4,105.0
0,0,2,105.0
0,0,9,76.0
0,0,50,76.0
0,0,15,76.0
0,0,205,76.0
0,0,95,76.0
0,0,83,78.0
0,0,663,78.0
0,0,499,78.0
0,0,299,78.0
0,0,104,88.0
0,0,132,77.0
0,0,159,77.0
0,0,62,77.0
0,0,57,77.0
0,0,37,77.0
0,0,32,81.0
0,0,12,73.0
0,0,10,73.0
0,0,15,73.0
0,0,10,73.0
0,0,1,75.0
0,0,2,75.0
0,0,4,75.0
0,0,4,75.0
0,0,1,75.0
0,0,2,106.0
0,0,2,106.0
0,0,5,106.0
0,0,2,106.0
0,0,40,113.0
0,0,2,113.0
0,0,1,105.0
0,0,1,120.0
0,0,7,76.0
0,0,35,76.0
0,0,157,76.0
0,0,870,76.0
0,0,32,84.0
0,0,631,84.0
0,0,1098,78.0
0,0,211,88.0
0,0,183,88.0
0,0,118,88.0
0,0,222,79.0
0,0,38,79.0
0,0,35,79.0
0,0,35,81.0
0,0,27,81.0
0,0,11,81.0
0,0,15,81.0
0,0,26,73.0
0,0,6,73.0
0,0,2,75.0
0,0,4,106.0
0,0,1,106.0
0,0,2,106.0
0,0,1,106.0
0,0,2,106.0
0,0,1,106.0
0,0,32,103.0
0,0,1,105.0
0,0,2,120.0
0,0,3,120.0
0,0,127,84.0
0,0,771,84.0
0,0,770,84.0
0,0,783,84.0
0,0,424,88.0
0,0,427,88.0
0,0,146,88.0
0,0,424,88.0
0,0,95,79.0
0,0,61,79.0
0,0,28,79.0
0,0,40,81.0
0,0,21,81.0
0,0,86,81.0
0,0,57,83.0
0,0,5,83.0
0,0,3,83.0
0,0,1,75.0
0,0,7,102.0
0,0,8,106.0
0,0,1,106.0
0,0,1,106.0
0,0,1,106.0
0,0,2,106.0
0,0,1,106.0
0,0,42,103.0
0,0,5,103.0
0,0,1,103.0
0,0,1,105.0
0,0,5,120.0
0,0,11,120.0
0,0,5,120.0
0,0,4,120.0
0,0,7,76.0
0,0,5,76.0
0,0,1,76.0
0,0,1,76.0
0,0,38,84.0
0,0,483,84.0
0,0,506,84.0
0,0,432,84.0
0,0,97,88.0
0,0,271,88.0
0,0,137,88.0
0,0,115,88.0
0,0,93,79.0
0,0,86,79.0
0,0,62,79.0
0,0,438,81.0
0,0,134,81.0
0,0,24,83.0
0,0,14,83.0
0,0,17,83.0
0,0,3,83.0
0,0,2,104.0
0,0,3,102.0
0,0,6,102.0
0,0,5,102.0
0,0,2,102.0
0,0,24,102.0
0,0,2,103.0
0,0,66,1.0
0,0,1987,1.0
0,0,47,84.0
0,0,2,84.0
0,0,240,84.0
0,0,338,84.0
0,0,38,84.0
0,0,15,88.0
0,0,104,88.0
0,0,42,90.0
0,0,143,90.0
0,0,200,90.0
0,0,260,90.0
0,0,175,83.0
0,0,103,83.0
0,0,43,83.0
0,0,52,83.0
0,0,11,104.0
0,0,4,104.0
0,0,3,104.0
0,0,1,104.0
0,0,3,104.0
0,0,4,102.0
0,0,1,102.0
0,0,1,102.0
0,0,6,102.0
0,0,19,102.0
0,0,86,102.0
0,0,7,103.0
0,0,3,105.0
0,0,2,120.0
0,0,811,1.0
0,0,2196,1.0
0,0,2310,5.0
0,0,164,5.0
0,0,13,5.0
0,0,17,7.0
0,0,1,7.0
0,0,1,7.0
0,0,29,7.0
0,0,261,88.0
0,0,500,90.0
0,0,312,90.0
0,0,174,90.0
0,0,391,90.0
0,0,161,90.0
0,0,124,83.0
0,0,107,83.0
0,0,12,83.0
0,0,4,83.0
0,0,2,104.0
0,0,7,104.0
0,0,2,104.0
0,0,3,104.0
0,0,1,112.0
0,0,3,102.0
0,0,28,102.0
0,0,8,107.0
0,0,5,107.0
0,0,4,103.0
0,0,13,103.0
0,0,1,103.0
0,0,1,120.0
0,0,3,120.0
0,0,2,120.0
0,0,1,1.0
0,0,2,1.0
0,0,3,1.0
0,0,8,1.0
0,0,745,1.0
0,0,2491,1.0
0,0,1723,1.0
0,0,1477,5.0
0,0,1613,5.0
0,0,627,7.0
0,0,73,7.0
0,0,42,7.0
0,0,196,7.0
0,0,1679,90.0
0,0,2901,90.0
0,0,1854,90.0
0,0,831,90.0
0,0,386,90.0
0,0,52,90.0
0,0,3,90.0
0,0,3,83.0
0,0,6,83.0
0,0,14,104.0
0,0,24,104.0
0,0,2,104.0
0,0,5,104.0
0,0,4,104.0
0,0,4,104.0
0,0,1,112.0
0,0,1,112.0
0,0,1,112.0
0,0,1,112.0
0,0,1,102.0
0,0,43,102.0
0,0,14,102.0
0,0,16,107.0
0,0,26,107.0
0,0,7,107.0
0,0,2,107.0
0,0,2,107.0
0,0,1,103.0
0,0,8,103.0
0,0,3,1.0
0,0,1,1.0
0,0,2,1.0
0,0,6,1.0
0,0,13,1.0
0,0,9,1.0
0,0,5,1.0
0,0,40,1.0
0,0,1795,1.0
0,0,3784,1.0
0,0,6352,5.0
0,0,6655,5.0
0,0,11227,7.0
0,0,1117,7.0
0,0,48,7.0
0,0,3,7.0
0,0,500,94.0
0,0,2935,94.0
0,0,423,94.0
0,0,227,94.0
0,0,53,94.0
0,0,1,94.0
0,0,5,104.0
0,0,17,104.0
0,0,1,104.0
0,0,2,104.0
0,0,3,112.0
0,0,7,112.0
0,0,3,112.0
0,0,90,112.0
0,0,19,112.0
0,0,13,112.0
0,0,8,112.0
0,0,21,107.0
0,0,2,107.0
0,0,2,107.0
0,0,5,107.0
0,0,3,107.0
0,0,3,107.0
0,0,1,105.0
0,0,1,105.0
0,0,1,1.0
0,0,1,1.0
0,0,3,1.0
0,0,11,1.0
0,0,2,1.0
0,0,9,1.0
0,0,4,1.0
0,0,1,1.0
0,0,5,1.0
0,0,409,1.0
0,0,5414,1.0
0,0,6981,5.0
0,0,10198,9.0
0,0,9847,9.0
0,0,5686,9.0
0,0,689,9.0
0,0,6,9.0
0,0,149,94.0
0,0,811,94.0
0,0,174,94.0
0,0,55,94.0
0,0,1,94.0
0,0,4,108.0
0,0,1,108.0
0,0,11,108.0
0,0,4,104.0
0,0,16,104.0
0,0,8,104.0
0,0,1,104.0
0,0,7,104.0
0,0,12,112.0
0,0,34,112.0
0,0,20,112.0
0,0,7,112.0
0,0,19,112.0
0,0,1,112.0
0,0,1,107.0
0,0,1,107.0
0,0,3,1.0
0,0,1,1.0
0,0,2,1.0
0,0,4,1.0
0,0,9,1.0
0,0,8,1.0
0,0,7,1.0
0,0,5,1.0
0,0,2,1.0
0,0,445,6.0
0,0,9413,6.0
0,0,14022,6.0
0,0,5041,6.0
0,0,12377,9.0
0,0,5493,9.0
0,0,839,9.0
0,0,7,9.0
0,0,383,94.0
0,0,238,94.0
0,0,7,94.0
0,0,4,94.0
0,0,4,108.0
0,0,9,108.0
0,0,4,108.0
0,0,5,108.0
0,0,1,104.0
0,0,4,104.0
0,0,6,104.0
0,0,8,110.0
0,0,47,110.0
0,0,44,110.0
0,0,141,112.0
0,0,7,112.0
0,0,9,112.0
0,0,11,112.0
0,0,10,112.0
0,0,2,112.0
0,0,7,112.0
0,0,2,107.0
0,0,1,107.0
0,0,5,107.0
0,0,1,111.0
0,0,1,111.0
0,0,2,120.0
0,0,3,1.0
0,0,3,1.0
0,0,1,1.0
0,0,1,1.0
0,0,1,1.0
0,0,7,1.0
0,0,6,6.0
0,0,463,6.0
0,0,9405,6.0
0,0,7737,6.0
0,0,6059,13.0
0,0,7527,13.0
0,0,3814,13.0
0,0,885,13.0
0,0,3,13.0
0,0,136,94.0
0,0,27,94.0
0,0,6,94.0
0,0,27,94.0
0,0,33,108.0
0,0,41,108.0
0,0,34,108.0
0,0,9,108.0
0,0,16,108.0
0,0,9,108.0
0,0,32,108.0
0,0,17,104.0
0,0,32,110.0
0,0,91,110.0
0,0,26,110.0
0,0,10,110.0
0,0,14,110.0
0,0,20,110.0
0,0,11,112.0
0,0,14,112.0
0,0,8,112.0
0,0,4,107.0
0,0,2,107.0
0,0,1,107.0
0,0,2,107.0
0,0,1,107.0
0,0,1,111.0
0,0,1,111.0
0,0,2,120.0
0,0,2,6.0
0,0,1,6.0
0,0,11,10.0
0,0,5,10.0
0,0,5,10.0
0,0,1,10.0
0,0,464,10.0
0,0,16869,10.0
0,0,6355,10.0
0,0,6946,13.0
0,0,9395,13.0
0,0,7084,13.0
0,0,5245,13.0
0,0,171,17.0
0,0,2,17.0
0,0,128,17.0
0,0,515,94.0
0,0,93,94.0
0,0,17,108.0
0,0,126,108.0
0,0,262,108.0
0,0,759,108.0
0,0,304,108.0
0,0,127,108.0
0,0,212,108.0
0,0,125,108.0
0,0,59,110.0
0,0,90,110.0
0,0,44,110.0
0,0,13,110.0
0,0,11,110.0
0,0,1,110.0
0,0,6,110.0
0,0,1,110.0
0,0,19,110.0
0,0,8,112.0
0,0,1,112.0
0,0,15,109.0
0,0,2,111.0
0,0,1,111.0
0,0,1,120.0
0,0,1,10.0
0,0,3,10.0
0,0,1,10.0
0,0,2,10.0
0,0,9,10.0
0,0,6,10.0
0,0,2,10.0
0,0,83,10.0
0,0,4488,10.0
0,0,2683,10.0
