weekday,pick_hour,sum,lat,long
0,0,5,40.5463,-74.2184
0,0,1,40.5623,-73.9144
0,0,2,40.5783,-73.9784
0,0,3,40.5783,-73.9704
0,0,3,40.5783,-73.9624
0,0,2,40.5863,-73.9864
0,0,7,40.5863,-73.9704
0,0,3,40.5863,-73.9624
0,0,7,40.5863,-73.9544
0,0,5,40.5863,-73.9464
0,0,2,40.5863,-73.9384
0,0,3,40.5863,-73.9304
0,0,4,40.5863,-73.8184
0,0,2,40.5943,-73.9944
0,0,1,40.5943,-73.9864
0,0,5,40.5943,-73.9784
0,0,1,40.5943,-73.9544
0,0,1,40.5943,-73.7544
0,0,1,40.6023,-74.0104
0,0,1,40.6023,-74.0024
0,0,9,40.6023,-73.9944
0,0,13,40.6023,-73.9864
0,0,6,40.6023,-73.9704
0,0,1,40.6023,-73.9544
0,0,5,40.6103,-74.1624
0,0,1,40.6103,-74.0904
0,0,4,40.6103,-74.0344
0,0,3,40.6103,-74.0104
0,0,1,40.6103,-74.0024
0,0,1,40.6103,-73.9944
0,0,2,40.6103,-73.9864
0,0,2,40.6103,-73.9784
0,0,1,40.6103,-73.9704
0,0,4,40.6103,-73.9624
0,0,1,40.6103,-73.9544
0,0,1,40.6103,-73.9224
0,0,1,40.6103,-73.8984
0,0,2,40.6183,-74.0344
0,0,8,40.6183,-74.0264
0,0,1,40.6183,-74.0184
0,0,9,40.6183,-73.9944
0,0,3,40.6183,-73.9864
0,0,3,40.6183,-73.9784
0,0,1,40.6183,-73.9704
0,0,2,40.6183,-73.9544
0,0,2,40.6183,-73.9464
0,0,2,40.6183,-73.9384
0,0,2,40.6263,-74.0344
0,0,11,40.6263,-74.0264
0,0,1,40.6263,-74.0184
0,0,2,40.6263,-73.9864
0,0,3,40.6263,-73.9784
0,0,6,40.6263,-73.9704
0,0,30,40.6263,-73.9624
0,0,4,40.6263,-73.9544
0,0,7,40.6263,-73.9464
0,0,3,40.6263,-73.9384
0,0,1,40.6343,-74.0344
0,0,9,40.6343,-74.0264
0,0,15,40.6343,-74.0184
0,0,2,40.6343,-74.0104
0,0,4,40.6343,-74.0024
0,0,5,40.6343,-73.9784
0,0,37,40.6343,-73.9704
0,0,5,40.6343,-73.9624
0,0,24,40.6343,-73.9544
0,0,28,40.6343,-73.9464
0,0,8,40.6343,-73.9304
0,0,1,40.6343,-73.9224
0,0,2,40.6343,-73.9064
0,0,1,40.6343,-73.8824
