day,hour,negative,neutral,positive
0,0,815,3604,1067
0,1,431,2297,767
0,2,462,2363,725
0,3,680,3140,872
0,4,907,3681,1026
0,5,919,4074,1095
0,6,922,4144,1141
0,7,930,4194,1001
0,8,893,3731,875
0,9,874,3730,850
0,10,718,2762,682
0,11,416,2016,388
0,12,420,1624,330
0,13,386,1509,319
0,14,302,1267,259
0,15,362,1404,295
0,16,388,1404,307
0,17,368,1391,314
0,18,334,1315,278
0,19,397,1447,487
0,20,605,2698,700
0,21,812,4341,1688
0,22,988,5598,2250
0,23,1041,5981,2475
1,0,983,6346,2815
1,1,728,4915,2189
1,2,756,4543,1754
1,3,615,3722,1372
1,4,673,3977,1446
1,5,770,4290,1582
1,6,735,4427,1754
1,7,824,4955,932
1,8,1194,6697,1200
1,9,970,6228,933
1,10,889,5751,812
1,11,845,5371,789
1,12,988,5931,800
1,13,922,5181,731
1,14,1118,6631,789
1,15,1077,5645,700
1,16,1167,6831,631
1,17,1247,6917,931
1,18,1318,6992,1123
1,19,1275,7162,1231
1,20,1086,5783,1258
1,21,1409,8360,1821
1,22,1462,8732,2031
1,23,1295,7443,2591
2,0,1095,6843,3058
2,1,1104,7070,3228
2,2,1024,6971,3169
2,3,1017,6917,3090
2,4,1017,7345,3194
2,5,1172,7259,2944
2,6,1349,8392,1632
2,7,1565,9945,1611
2,8,1677,10395,1600
2,9,1572,9763,1431
2,10,1335,7810,1212
2,11,1331,8215,1101
2,12,1389,8333,1054
2,13,1466,8935,980
2,14,1482,8771,954
2,15,1366,8580,899
2,16,1357,8089,1231
2,17,1148,6454,1111
2,18,1367,7640,1343
2,19,1673,9544,1678
2,20,1893,10615,2031
2,21,1939,10959,3049
2,22,1999,12020,3594
2,23,1809,10855,4125
3,0,1687,11011,5101
3,1,1638,10792,4987
3,2,1531,10608,4971
3,3,1538,10586,4901
3,4,1543,11007,4882
3,5,1715,11200,1821
3,6,1826,11722,1789
3,7,1825,11789,1672
3,8,1851,12131,1532
3,9,1837,11394,1489
3,10,1749,11163,1338
3,11,1789,12640,1431
3,12,1117,7622,895
3,13,825,6087,679
3,14,985,6242,731
3,15,944,6043,712
3,16,1101,7021,931
3,17,1093,7132,1021
3,18,1122,7359,1102
3,19,1159,7281,1298
3,20,1231,5723,1850
3,21,1490,3127,2531
3,22,1530,4145,3489
3,23,1538,10373,4900
4,0,1536,10657,5012
4,1,1431,10412,4824
4,2,1436,10286,4830
4,3,1499,10817,4678
4,4,1691,11114,4954
4,5,1793,11420,5123
4,6,1777,11592,2041
4,7,1798,11359,1831
4,8,1022,6580,967
4,9,932,5920,912
4,10,935,5429,945
4,11,1158,6376,1098
4,12,959,5657,931
4,13,1034,6067,1025
4,14,1109,6223,1098
4,15,1257,6755,1321
4,16,1382,7409,1878
4,17,1023,6679,1678
4,18,1259,6464,2647
4,19,1134,6718,2882
4,20,1060,6252,2675
4,21,1092,6654,2948
4,22,1283,8391,3592
4,23,1415,9071,4000
5,0,1144,7958,3633
5,1,1142,7742,3498
5,2,1032,7804,3493
5,3,1167,7967,3541
5,4,1038,7538,3307
5,5,1040,7327,3161
5,6,997,6497,2842
5,7,1070,6215,2624
5,8,1117,5961,2219
5,9,776,3162,1066
5,10,749,3139,1016
5,11,778,3514,1039
5,12,711,2983,1029
5,13,802,3479,1114
5,14,459,1888,689
5,15,608,2567,905
5,16,830,3356,1091
5,17,828,3248,1130
5,18,576,2571,982
5,19,611,2750,931
5,20,625,2802,961
5,21,1231,6151,2352
5,22,1274,6774,2812
5,23,970,5072,2015
6,0,722,4006,1561
6,1,682,3819,1386
6,2,696,3894,1455
6,3,746,3784,1433
6,4,740,4281,1466
6,5,850,4350,1465
6,6,801,4163,1526
6,7,848,4358,1580
6,8,591,2887,1019
6,9,552,2534,1045
6,10,479,2495,783
6,11,217,924,567
6,12,242,874,585
6,13,159,684,320
6,14,254,927,597
6,15,342,1197,741
6,16,368,1369,716
6,17,396,1487,877
6,18,385,1441,710
6,19,373,1448,773
6,20,468,1846,973
6,21,857,3321,1608
6,22,866,3271,1624
6,23,891,3834,1302
