day,hour,pearson,kendall,spearman,max_pearson_val,max_pearson_time,min_pearson_val,min_pearson_time,max_kendall_val,max_kendall_time,min_kendall_val,min_kendall_time,max_spearman_val,max_spearman_time,min_spearman_val,min_spearman_time
0,0,0.43,0.39,0.56,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,1,0.62,0.54,0.73,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,2,0.66,0.56,0.74,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,3,0.72,0.55,0.74,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,4,0.74,0.57,0.76,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,5,0.79,0.6,0.79,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,6,0.7,0.67,0.84,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,7,0.62,0.58,0.77,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,8,0.64,0.52,0.68,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,9,0.68,0.49,0.66,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,10,0.64,0.42,0.59,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,11,0.61,0.43,0.59,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,12,0.58,0.4,0.55,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,13,0.58,0.44,0.61,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,14,0.49,0.38,0.52,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,15,0.45,0.32,0.43,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,16,0.47,0.37,0.51,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,17,0.47,0.35,0.5,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,18,0.43,0.35,0.5,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,19,0.34,0.29,0.41,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,20,0.38,0.27,0.4,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,21,0.39,0.33,0.47,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,22,0.42,0.35,0.5,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
0,23,0.48,0.41,0.58,0.79,5,0.34,19,0.67,6,0.27,20,0.84,6,0.4,20
1,0,0.49,0.45,0.61,0.79,28,0.29,46,0.67,6,0.27,20,0.84,6,0.4,43
1,1,0.64,0.57,0.75,0.79,28,0.29,46,0.67,6,0.27,20,0.84,6,0.4,43
1,2,0.7,0.55,0.74,0.79,28,0.29,46,0.67,6,0.27,20,0.84,6,0.4,43
1,3,0.76,0.47,0.68,0.79,28,0.29,46,0.67,6,0.27,20,0.84,6,0.4,43
1,4,0.79,0.56,0.76,0.79,28,0.29,46,0.67,6,0.27,20,0.84,6,0.4,43
1,5,0.78,0.59,0.79,0.79,28,0.29,46,0.67,6,0.27,20,0.84,6,0.4,43
1,6,0.65,0.63,0.81,0.79,28,0.29,46,0.67,6,0.27,20,0.84,6,0.4,43
1,7,0.61,0.58,0.76,0.79,28,0.29,46,0.67,6,0.27,20,0.84,6,0.4,43
1,8,0.57,0.5,0.67,0.79,28,0.29,46,0.67,6,0.27,20,0.84,6,0.4,43
1,9,0.63,0.46,0.64,0.79,28,0.29,46,0.67,6,0.27,20,0.84,6,0.4,43
