day,hour,precinct,criminal,traffic,population,age,max_crime,min_crime,max_traffic,min_traffic,max_crime_time,min_crime_time,max_traffic_time,min_traffic_time,max_crime_change,max_traffic_change
0,0,44,157,161,141055,31.5,229.0,38.0,308.0,51.0,18.0,6.0,7.0,19.0,6.03,6.04
0,0,103,75,117,68981,39.3,181.0,27.0,333.0,13.0,15.0,5.0,16.0,3.0,6.7,25.62
0,0,28,90,2652,50095,34.8,182.0,59.0,6251.0,745.0,15.0,5.0,7.0,3.0,3.08,8.39
0,0,105,78,21,200852,40.1,162.0,30.0,72.0,5.0,12.0,3.0,6.0,3.0,5.4,14.4
0,0,13,168,42836,49348,34.2,256.0,121.0,137063.0,9886.0,12.0,3.0,19.0,3.0,2.12,13.86
0,0,71,101,461,111325,34.3,141.0,24.0,461.0,56.0,18.0,5.0,0.0,11.0,5.88,8.23
0,0,7,147,10810,72789,41.1,165.0,57.0,13099.0,2419.0,20.0,6.0,23.0,5.0,2.89,5.42
0,0,46,96,96,136982,29.9,178.0,40.0,97.0,19.0,16.0,3.0,1.0,14.0,4.45,5.11
0,0,48,93,12,130442,28.9,162.0,35.0,26.0,2.0,14.0,4.0,1.0,10.0,4.63,13.0
0,0,19,165,24861,221922,39.9,266.0,72.0,162269.0,5502.0,12.0,3.0,18.0,3.0,3.69,29.49
0,0,41,79,31,55492,30.3,148.0,21.0,43.0,8.0,18.0,6.0,5.0,9.0,7.05,5.38
0,0,14,159,78088,16368,33.2,253.0,126.0,198038.0,15284.0,10.0,5.0,19.0,3.0,2.01,12.96
0,0,67,200,32,138643,37.8,204.0,41.0,49.0,3.0,19.0,6.0,1.0,11.0,4.98,16.33
0,0,17,136,48117,97402,38.4,180.0,108.0,267591.0,11346.0,12.0,5.0,19.0,3.0,1.67,23.58
0,0,61,87,29,150931,39.9,117.0,23.0,63.0,8.0,12.0,6.0,8.0,11.0,5.09,7.88
0,0,102,97,261,154987,35.5,118.0,24.0,359.0,62.0,19.0,6.0,6.0,2.0,4.92,5.79
0,0,110,118,879,142289,35.8,142.0,59.0,989.0,250.0,16.0,10.0,4.0,20.0,2.41,3.96
0,0,108,113,5021,139088,37.1,153.0,87.0,8844.0,2651.0,7.0,5.0,7.0,3.0,1.76,3.34
0,0,75,219,58,185182,33.0,320.0,60.0,65.0,13.0,19.0,4.0,1.0,11.0,5.33,5.0
0,0,73,122,105,94149,32.3,192.0,32.0,110.0,12.0,16.0,4.0,1.0,12.0,6.0,9.17
0,0,60,145,26,109876,43.7,145.0,18.0,35.0,3.0,0.0,4.0,20.0,17.0,8.06,11.67
0,0,68,43,95,125011,39.4,120.0,10.0,149.0,17.0,17.0,4.0,23.0,11.0,12.0,8.76
0,0,79,130,809,75318,29.1,163.0,18.0,814.0,76.0,21.0,5.0,23.0,16.0,9.06,10.71
