day,hour,negative,positive,max_positive,min_positive,max_positive_time,min_positive_time,max_positive_change
0,0,43.3,56.7,70.39,44.0,23.0,12.0,1.6
0,1,35.980000000000004,64.02,70.39,44.0,23.0,12.0,1.6
0,2,38.92,61.08,70.39,44.0,23.0,12.0,1.6
0,3,43.81,56.19,70.39,44.0,23.0,12.0,1.6
0,4,46.92,53.08,70.39,44.0,23.0,12.0,1.6
0,5,45.63,54.37,70.39,44.0,23.0,12.0,1.6
0,6,44.69,55.31,70.39,44.0,23.0,12.0,1.6
0,7,48.16,51.84,70.39,44.0,23.0,12.0,1.6
0,8,50.51,49.49,70.39,44.0,23.0,12.0,1.6
0,9,50.7,49.3,70.39,44.0,23.0,12.0,1.6
0,10,51.29,48.71,70.39,44.0,23.0,12.0,1.6
0,11,51.74,48.26,70.39,44.0,23.0,12.0,1.6
0,12,56.0,44.0,70.39,44.0,23.0,12.0,1.6
0,13,54.75,45.25,70.39,44.0,23.0,12.0,1.6
0,14,53.83,46.17,70.39,44.0,23.0,12.0,1.6
0,15,55.1,44.9,70.39,44.0,23.0,12.0,1.6
0,16,55.83,44.17,70.39,44.0,23.0,12.0,1.6
0,17,53.96,46.04,70.39,44.0,23.0,12.0,1.6
0,18,54.58,45.42,70.39,44.0,23.0,12.0,1.6
0,19,44.91,55.09,70.39,44.0,23.0,12.0,1.6
0,20,46.36,53.64,70.39,44.0,23.0,12.0,1.6
0,21,32.480000000000004,67.52,70.39,44.0,23.0,12.0,1.6
0,22,30.510000000000005,69.49,70.39,44.0,23.0,12.0,1.6
0,23,29.61,70.39,70.39,44.0,23.0,12.0,1.6
1,0,25.879999999999995,74.12,75.04,35.09,0.0,15.0,2.14
1,1,24.959999999999994,75.04,75.04,35.09,0.0,15.0,2.14
1,2,30.120000000000005,69.88,75.04,35.09,0.0,15.0,2.14
1,3,30.950000000000003,69.05,75.04,35.09,0.0,15.0,2.14
1,4,31.760000000000005,68.24,75.04,35.09,0.0,15.0,2.14
1,5,32.739999999999995,67.26,75.04,35.09,0.0,15.0,2.14
1,6,29.53,70.47,75.04,35.09,0.0,15.0,2.14
1,7,46.92,53.08,75.04,35.09,0.0,15.0,2.14
1,8,49.87,50.13,75.04,35.09,0.0,15.0,2.14
1,9,50.97,49.03,75.04,35.09,0.0,15.0,2.14
1,10,52.26,47.74,75.04,35.09,0.0,15.0,2.14
1,11,51.71,48.29,75.04,35.09,0.0,15.0,2.14
1,12,55.26,44.74,75.04,35.09,0.0,15.0,2.14
1,13,55.78,44.22,75.04,35.09,0.0,15.0,2.14
1,14,58.63,41.37,75.04,35.09,0.0,15.0,2.14
1,15,60.61,39.39,75.04,35.09,0.0,15.0,2.14
1,16,64.91,35.09,75.04,35.09,0.0,15.0,2.14
1,17,57.25,42.75,75.04,35.09,0.0,15.0,2.14
1,18,53.99,46.01,75.04,35.09,0.0,15.0,2.14
1,19,50.88,49.12,75.04,35.09,0.0,15.0,2.14
1,20,46.33,53.67,75.04,35.09,0.0,15.0,2.14
1,21,43.62,56.38,75.04,35.09,0.0,15.0,2.14
1,22,41.86,58.14,75.04,35.09,0.0,15.0,2.14
1,23,33.31999999999999,66.68,75.04,35.09,0.0,15.0,2.14
2,0,26.370000000000005,73.63,75.85,39.16,3.0,13.0,1.94
2,1,25.480000000000004,74.52,75.85,39.16,3.0,13.0,1.94
2,2,24.42,75.58,75.85,39.16,3.0,13.0,1.94
2,3,24.760000000000005,75.24,75.85,39.16,3.0,13.0,1.94
2,4,24.150000000000006,75.85,75.85,39.16,3.0,13.0,1.94
2,5,28.47,71.53,75.85,39.16,3.0,13.0,1.94
2,6,45.25,54.75,75.85,39.16,3.0,13.0,1.94
2,7,49.28,50.72,75.85,39.16,3.0,13.0,1.94
2,8,51.17,48.83,75.85,39.16,3.0,13.0,1.94
2,9,52.35,47.65,75.85,39.16,3.0,13.0,1.94
2,10,52.41,47.59,75.85,39.16,3.0,13.0,1.94
2,11,54.73,45.27,75.85,39.16,3.0,13.0,1.94
2,12,56.86,43.14,75.85,39.16,3.0,13.0,1.94
2,13,59.93,40.07,75.85,39.16,3.0,13.0,1.94
2,14,60.84,39.16,75.85,39.16,3.0,13.0,1.94
2,15,60.31,39.69,75.85,39.16,3.0,13.0,1.94
2,16,52.43,47.57,75.85,39.16,3.0,13.0,1.94
2,17,50.82,49.18,75.85,39.16,3.0,13.0,1.94
2,18,50.44,49.56,75.85,39.16,3.0,13.0,1.94
2,19,49.93,50.07,75.85,39.16,3.0,13.0,1.94
2,20,48.24,51.76,75.85,39.16,3.0,13.0,1.94
2,21,38.87,61.13,75.85,39.16,3.0,13.0,1.94
2,22,35.739999999999995,64.26,75.85,39.16,3.0,13.0,1.94
2,23,30.489999999999995,69.51,75.85,39.16,3.0,13.0,1.94
3,0,24.849999999999994,75.15,76.45,42.6,1.0,13.0,1.79
3,1,24.72,75.28,76.45,42.6,1.0,13.0,1.79
3,2,23.549999999999997,76.45,76.45,42.6,1.0,13.0,1.79
3,3,23.89,76.11,76.45,42.6,1.0,13.0,1.79
3,4,24.019999999999996,75.98,76.45,42.6,1.0,13.0,1.79
3,5,48.5,51.5,76.45,42.6,1.0,13.0,1.79
3,6,50.51,49.49,76.45,42.6,1.0,13.0,1.79
3,7,52.19,47.81,76.45,42.6,1.0,13.0,1.79
3,8,54.71,45.29,76.45,42.6,1.0,13.0,1.79
3,9,55.23,44.77,76.45,42.6,1.0,13.0,1.79
3,10,56.66,43.34,76.45,42.6,1.0,13.0,1.79
3,11,55.56,44.44,76.45,42.6,1.0,13.0,1.79
3,12,55.52,44.48,76.45,42.6,1.0,13.0,1.79
3,13,54.85,45.15,76.45,42.6,1.0,13.0,1.79
3,14,57.4,42.6,76.45,42.6,1.0,13.0,1.79
3,15,57.0,43.0,76.45,42.6,1.0,13.0,1.79
3,16,54.18,45.82,76.45,42.6,1.0,13.0,1.79
3,17,51.7,48.3,76.45,42.6,1.0,13.0,1.79
3,18,50.45,49.55,76.45,42.6,1.0,13.0,1.79
3,19,47.17,52.83,76.45,42.6,1.0,13.0,1.79
3,20,39.95,60.05,76.45,42.6,1.0,13.0,1.79
3,21,37.06,62.94,76.45,42.6,1.0,13.0,1.79
3,22,30.480000000000004,69.52,76.45,42.6,1.0,13.0,1.79
3,23,23.89,76.11,76.45,42.6,1.0,13.0,1.79
4,0,23.459999999999994,76.54,77.12,48.62,0.0,7.0,1.59
4,1,22.879999999999995,77.12,77.12,48.62,0.0,7.0,1.59
4,2,22.92,77.08,77.12,48.62,0.0,7.0,1.59
4,3,24.269999999999996,75.73,77.12,48.62,0.0,7.0,1.59
4,4,25.450000000000003,74.55,77.12,48.62,0.0,7.0,1.59
4,5,25.930000000000007,74.07,77.12,48.62,0.0,7.0,1.59
4,6,46.54,53.46,77.12,48.62,0.0,7.0,1.59
4,7,49.55,50.45,77.12,48.62,0.0,7.0,1.59
4,8,51.38,48.62,77.12,48.62,0.0,7.0,1.59
4,9,50.54,49.46,77.12,48.62,0.0,7.0,1.59
4,10,49.73,50.27,77.12,48.62,0.0,7.0,1.59
4,11,51.33,48.67,77.12,48.62,0.0,7.0,1.59
4,12,50.74,49.26,77.12,48.62,0.0,7.0,1.59
4,13,50.22,49.78,77.12,48.62,0.0,7.0,1.59
4,14,50.25,49.75,77.12,48.62,0.0,7.0,1.59
4,15,48.76,51.24,77.12,48.62,0.0,7.0,1.59
4,16,42.39,57.61,77.12,48.62,0.0,7.0,1.59
4,17,37.87,62.13,77.12,48.62,0.0,7.0,1.59
4,18,32.230000000000004,67.77,77.12,48.62,0.0,7.0,1.59
4,19,28.239999999999995,71.76,77.12,48.62,0.0,7.0,1.59
4,20,28.379999999999995,71.62,77.12,48.62,0.0,7.0,1.59
4,21,27.03,72.97,77.12,48.62,0.0,7.0,1.59
4,22,26.319999999999993,73.68,77.12,48.62,0.0,7.0,1.59
4,23,26.129999999999995,73.87,77.12,48.62,0.0,7.0,1.59
5,0,23.950000000000003,76.05,77.19,56.79,1.0,15.0,1.36
5,1,24.61,75.39,77.19,56.79,1.0,15.0,1.36
5,2,22.810000000000002,77.19,77.19,56.79,1.0,15.0,1.36
5,3,24.790000000000006,75.21,77.19,56.79,1.0,15.0,1.36
5,4,23.89,76.11,77.19,56.79,1.0,15.0,1.36
5,5,24.760000000000005,75.24,77.19,56.79,1.0,15.0,1.36
5,6,25.97,74.03,77.19,56.79,1.0,15.0,1.36
5,7,28.97,71.03,77.19,56.79,1.0,15.0,1.36
5,8,33.480000000000004,66.52,77.19,56.79,1.0,15.0,1.36
5,9,42.13,57.87,77.19,56.79,1.0,15.0,1.36
5,10,42.44,57.56,77.19,56.79,1.0,15.0,1.36
5,11,42.82,57.18,77.19,56.79,1.0,15.0,1.36
5,12,40.86,59.14,77.19,56.79,1.0,15.0,1.36
5,13,41.86,58.14,77.19,56.79,1.0,15.0,1.36
5,14,39.98,60.02,77.19,56.79,1.0,15.0,1.36
5,15,40.19,59.81,77.19,56.79,1.0,15.0,1.36
5,16,43.21,56.79,77.19,56.79,1.0,15.0,1.36
5,17,42.29,57.71,77.19,56.79,1.0,15.0,1.36
5,18,36.97,63.03,77.19,56.79,1.0,15.0,1.36
5,19,39.62,60.38,77.19,56.79,1.0,15.0,1.36
5,20,39.41,60.59,77.19,56.79,1.0,15.0,1.36
5,21,34.36,65.64,77.19,56.79,1.0,15.0,1.36
5,22,31.180000000000007,68.82,77.19,56.79,1.0,15.0,1.36
5,23,32.5,67.5,77.19,56.79,1.0,15.0,1.36
6,0,31.629999999999995,68.37,72.32,62.04,10.0,9.0,1.17
6,1,32.980000000000004,67.02,72.32,62.04,10.0,9.0,1.17
6,2,32.36,67.64,72.32,62.04,10.0,9.0,1.17
6,3,34.239999999999995,65.76,72.32,62.04,10.0,9.0,1.17
6,4,33.540000000000006,66.46,72.32,62.04,10.0,9.0,1.17
6,5,36.72,63.28,72.32,62.04,10.0,9.0,1.17
6,6,34.42,65.58,72.32,62.04,10.0,9.0,1.17
6,7,34.93000000000001,65.07,72.32,62.04,10.0,9.0,1.17
6,8,36.71,63.29,72.32,62.04,10.0,9.0,1.17
6,9,34.56,65.44,72.32,62.04,10.0,9.0,1.17
6,10,37.96,62.04,72.32,62.04,10.0,9.0,1.17
6,11,27.680000000000007,72.32,72.32,62.04,10.0,9.0,1.17
6,12,29.260000000000005,70.74,72.32,62.04,10.0,9.0,1.17
6,13,33.19,66.81,72.32,62.04,10.0,9.0,1.17
6,14,29.849999999999994,70.15,72.32,62.04,10.0,9.0,1.17
6,15,31.58,68.42,72.32,62.04,10.0,9.0,1.17
6,16,33.95,66.05,72.32,62.04,10.0,9.0,1.17
6,17,31.11,68.89,72.32,62.04,10.0,9.0,1.17
6,18,35.16,64.84,72.32,62.04,10.0,9.0,1.17
6,19,32.55,67.45,72.32,62.04,10.0,9.0,1.17
6,20,32.480000000000004,67.52,72.32,62.04,10.0,9.0,1.17
6,21,34.769999999999996,65.23,72.32,62.04,10.0,9.0,1.17
6,22,34.78,65.22,72.32,62.04,10.0,9.0,1.17
6,23,40.63,59.37,,,,,
